postal_code,Years,useful,funny,cool,Price,stars_1,stars_2,stars_3,stars_4,stars_5,stars,reviews_perc,prev_stars,stars_perc,Perc_Change_tminus1,Per_Change_t,Perc_Change_tplus1
15146,2009,2.147540984,0.786885246,1.081967213,2,0.06557377,0.180327869,0.147540984,0.278688525,0.327868852,3.62295082,0.016864805,3.888888889,-0.068384075,-0.011111111,-0.04494382,0.035294118
15146,2010,1.48,0.35,0.61,1.909090909,0.12,0.11,0.15,0.34,0.28,3.55,0.015936255,3.62295082,-0.020135747,-0.04494382,0.035294118,0
15146,2011,1.213333333,0.471111111,0.386666667,1.870967742,0.084444444,0.102222222,0.195555556,0.311111111,0.306666667,3.653333333,0.019281858,3.55,0.029107981,0.035294118,0,-0.005681818
15146,2012,1.026809651,0.45844504,0.399463807,1.857142857,0.107238606,0.096514745,0.168900804,0.361930295,0.26541555,3.581769437,0.022311281,3.653333333,-0.019588658,0,-0.005681818,0.005714286
15146,2013,1.111856823,0.398210291,0.559284116,1.844594595,0.125279642,0.163310962,0.165548098,0.299776286,0.246085011,3.378076063,0.02123919,3.581769437,-0.056869483,-0.005681818,0.005714286,0.039772727
15146,2014,0.882191781,0.253424658,0.37260274,1.788888889,0.156164384,0.112328767,0.152054795,0.309589041,0.269863014,3.424657534,0.025335786,3.378076063,0.01378935,0.005714286,0.039772727,0.016393443
15146,2015,0.635437882,0.176171079,0.323828921,1.831730769,0.181262729,0.096741344,0.15885947,0.240325866,0.322810591,3.426680244,0.025236431,3.424657534,0.000590631,0.039772727,0.016393443,0.032258065
15146,2016,0.802259887,0.354990584,0.645009416,1.819444444,0.192090395,0.106403013,0.112052731,0.237288136,0.352165725,3.451035782,0.024156128,3.426680244,0.007107619,0.016393443,0.032258065,0.026041667
15146,2017,1.961538462,0.980769231,1.903846154,1.774193548,0.153846154,0.076923077,0.076923077,0.269230769,0.423076923,3.730769231,0.020816653,3.451035782,0.081057823,0.032258065,0.026041667,-1
15147,2007,0,0,0,1,0,0,0,0,1,5,0.001179245,,0.340206186,0.015873016,0.015625,-0.015384615
15147,2008,1.166666667,0.166666667,0.166666667,2,0,0,0.166666667,0.5,0.333333333,4.166666667,0.003183024,5,-0.166666667,0.015625,-0.015384615,-0.046875
15147,2009,2,0,0.5,1.5,0,0,0,0,1,5,0.000552944,4.166666667,0.2,-0.015384615,-0.046875,-0.016393443
15147,2010,2.833333333,1.833333333,2.166666667,1.75,0,0,0,0.333333333,0.666666667,4.666666667,0.000956175,5,-0.066666667,-0.046875,-0.016393443,-0.016666667
